,departuretime,callsign,company,destinationairport,actype,registration,stand,route
,9:40:00,TAP223,TAP Air Portugal,KMIA,A332,CSTOM,144,BUSEN UZ21 GUNTI DCT 39N020W 39N030W 38N040W 37N050W 35N060W 32N070W DCT SNAGY M203 ADOOR DCT BLUFI BLUFI4
,11:15:00,AAL259,American Airlines,KPHL,B763,N347AN,802,BUSEN DCT ERPES DCT 42N020W 44N030W 45N035W 47N040W 46N050W DCT SUPRY N110B WHALE DCT ACK DCT CYN DCT VCN VCN9
,16:20:00,CTN701,Croatia Airlines,LDZA,CRJX,ECLPN,805,IXIDA DCT TOSDI UN745 ZMR UN976 DGO UT429 TOPTU UN871 LTP UY36 BALSI UP860 MEDAM UM730 ATMAD M730 TOP Y11 LURUT M859 BARPI DCT ARGOM
,10:35:00,TAP1122,TAP Air Portugal,LEAL,AT72,CSDJD,701,GAIOS DCT LASIB UM744 SVL UN747 AMOTA UT312 BAZAS UM192 ROLAS UN851 RESTU
,16:40:00,TAP1112,TAP Air Portugal,LEAS,AT72,CSDJD,701,IXIDA DCT TOSDI UN745 ZMR R107 XONDA
,15:05:00,TAP1066,TAP Air Portugal,LEBB,AT72,CSDJH,701,IXIDA DCT TOSDI UN745 ZMR UN976 DGO
,9:55:00,TAP1038,TAP Air Portugal,LEBL,A320,CSTNJ,124,IDBID DCT UREDI UN870 PONEN UT600 CASPE
,15:35:00,TAP1036,TAP Air Portugal,LEBL,A319,CSTTA,116,IDBID DCT UREDI UN870 PONEN UT600 CASPE
,11:00:00,AEA1150,Air Europa,LEMD,E195,ECLIN,124,IDBID DCT OGERO UZ409 TLD
,12:20:00,TAP1028,TAP Air Portugal,LEMD,A319,CSTTH,115,IDBID DCT OGERO UZ409 TLD
,15:15:00,AEA1156,Air Europa,LEMD,E195,ECLIN,804,IDBID DCT OGERO UZ409 TLD
,15:20:00,TAP1024,TAP Air Portugal,LEMD,A319,CSTNU,116,IDBID DCT OGERO UZ409 TLD
,15:45:00,IBE31PT,Iberia,LEMD,A321,ECHUI,117,IDBID DCT OGERO UZ409 TLD
